State,Employment,Labor.Income,Avg.Wage,Economic.Impact,Impact21.Adult
Alabama,3386,159082000,46986,615894000,175.93
Alaska,1320,68972000,52244,262932000,511.80
Arizona,7838,361306000,46097,999557000,203.79
Arkansas,2321,104168000,44883,405510000,191.10
California,49308,2712897000,55019,7344502000,262.73
Colorado,22220,1057399000,47587,3037487000,764.34
Connecticut,5100,279237000,54755,718204000,275.77
Delaware,2018,98471000,48791,318173000,456.79
DistrictofColumbia,1733,111417000,64300,234860000,454.05
Florida,23077,973828000,42200,3074261000,198.69
Georgia,10895,481967000,44237,1595594000,221.25
Hawaii,1975,87225000,44164,245059000,233.73
Idaho,2784,125031000,44910,366497000,317.50
Illinois,15844,829784000,52372,2602200000,283.70
Indiana,7776,386968000,49763,1309623000,280.35
Iowa,5031,230701000,45856,861258000,388.77
Kansas,2946,140699000,47762,480010000,237.88
Kentucky,3874,171706000,44324,657359000,206.08
Louisiana,3383,172157000,50885,740141000,222.76
Maine,4080,157183000,38529,475997000,471.45
Maryland,5782,289611000,50091,826458000,189.76
Massachusetts,16220,794894000,49008,1837794000,366.97
Michigan,14440,662368000,45870,2094215000,292.12
Minnesota,14027,689664000,49168,2006628000,509.30
Mississippi,2019,77093000,38176,310714000,148.33
Missouri,7197,331411000,46046,1047264000,239.39
Montana,2995,124401000,41542,417409000,549.98
Nebraska,2717,138627000,51030,465211000,351.53
Nevada,3474,155632000,44793,434601000,204.49
NewHampshire,3216,140796000,43775,353468000,356.06
NewJersey,11449,619604000,54120,1636301000,251.54
NewMexico,2878,115782000,40233,333140000,226.26
NewYork,21929,1314721000,59952,3439441000,237.59
NorthCarolina,12470,590251000,47333,2042010000,280.70
NorthDakota,1162,55742000,47954,199990000,375.11
Ohio,15762,749986000,47582,2674611000,319.41
Oklahoma,2784,159151000,57167,501969000,182.77
Oregon,14446,672966000,46585,1987919000,659.12
Pennsylvania,39841,1875690000,47079,5787811000,615.77
RhodeIsland,1126,55384000,49168,152305000,196.43
SouthCarolina,4042,171917000,42528,649525000,181.11
SouthDakota,1492,63317000,42447,208962000,345.81
Tennessee,7052,346753000,49167,1135337000,236.46
Texas,26506,1427495000,53856,4539628000,238.92
Utah,2751,122943000,44692,415489000,214.34
Vermont,2370,91954000,38791,308607000,666.78
Virginia,10260,486021000,47373,1373361000,226.13
Washington,13306,630077000,47355,1770620000,334.60
WestVirginia,1792,75954000,42394,292687000,214.74
Wisconsin,12941,579859000,44807,2014990000,484.22
Wyoming,1018,46422000,45620,176916000,418.78
